PartID,Week,AdjustedDemand
26,-1,321.0
26,-1,642.0
26,-1,260.0
26,-1,1495.0
26,-1,320.0
26,-1,476.0
26,-1,3808.0
26,-1,5236.0
26,0,260.0
26,0,520.0
26,0,288.0
26,0,1600.0
26,0,282.0
26,0,614.0
26,0,4912.0
26,0,6754.0
26,1,288.0
26,1,576.0
26,1,331.0
26,1,1410.0
26,1,252.0
26,1,688.0
26,1,5504.0
26,1,7568.0
26,2,331.0
26,2,662.0
26,2,295.0
26,2,1260.0
26,2,302.0
26,2,686.0
26,2,5488.0
26,2,7546.0
26,3,295.0
26,3,590.0
26,3,326.0
26,3,1510.0
26,3,315.0
26,3,568.0
26,3,4544.0
26,3,6248.0
26,4,326.0
26,4,652.0
26,4,256.0
26,4,1575.0
26,4,334.0
26,4,642.0
26,4,5136.0
26,4,7062.0
26,5,256.0
26,5,512.0
26,5,326.0
26,5,1670.0
26,5,292.0
26,5,534.0
26,5,4272.0
26,5,5874.0
26,6,326.0
26,6,652.0
26,6,320.0
26,6,1460.0
26,6,313.0
26,6,524.0
26,6,4192.0
26,6,5764.0
26,7,320.0
26,7,640.0
26,7,1565.0
26,7,606.0
26,7,4848.0
26,7,6666.0
27,-3,19200.0
27,-3,134334.0
27,-3,462820.0
27,-2,16320.0
27,-2,103604.0
27,-2,449680.0
27,-1,19260.0
27,-1,137407.0
27,-1,448220.0
27,0,19260.0
27,0,131261.0
27,0,347480.0
27,1,15600.0
27,1,140480.0
27,1,448220.0
27,2,17280.0
27,2,123798.0
27,2,502240.0
27,3,19860.0
27,3,110628.0
27,3,500780.0
27,4,17700.0
27,4,132578.0
27,4,414640.0
27,5,19560.0
27,5,138285.0
27,5,468660.0
27,6,15360.0
27,6,146626.0
27,6,389820.0
27,7,19560.0
27,7,128188.0
27,7,382520.0
27,8,19200.0
27,8,137407.0
27,8,442380.0
29,0,9097.9
29,1,8839.6
29,2,8810.9
29,3,6830.599999999999
29,4,8810.9
29,5,9872.8
29,6,9844.1
29,7,8150.8
29,8,9212.699999999999
29,9,7662.9
29,10,7519.4
29,11,8696.1
